time,symbol,open,high,low,close,volume
2024-08-28,EURI/USDT,1.12,1.2005,1.1083,1.1107,5055595.0
2024-08-29,EURI/USDT,1.1107,1.1125,1.1044,1.1068,6456573.2
2024-08-30,EURI/USDT,1.1067,1.1093,1.1037,1.1042,12692577.2
2024-08-31,EURI/USDT,1.1042,1.1064,1.1039,1.1055,3306525.5
2024-09-01,EURI/USDT,1.1056,1.1056,1.0989,1.1034,1716613.1
2024-09-02,EURI/USDT,1.1034,1.1078,1.1031,1.1061,7466363.6
2024-09-03,EURI/USDT,1.106,1.1064,1.1024,1.1046,54784753.1
2024-09-04,EURI/USDT,1.1046,1.11,1.1036,1.1073,81735595.0
2024-09-05,EURI/USDT,1.1073,1.1117,1.1067,1.111,91064895.0
2024-09-06,EURI/USDT,1.1109,1.1159,1.103,1.1035,126679760.4
2024-09-07,EURI/USDT,1.1036,1.1072,1.0952,1.1048,2033023.6
2024-09-08,EURI/USDT,1.1048,1.1068,1.1047,1.106,1746331.3
2024-09-09,EURI/USDT,1.106,1.1068,1.1022,1.1032,24037124.3
2024-09-10,EURI/USDT,1.1032,1.1045,1.1013,1.1016,36578533.6
2024-09-11,EURI/USDT,1.1016,1.1047,1.0982,1.101,22867838.4
2024-09-12,EURI/USDT,1.101,1.1077,1.1003,1.1071,7495148.2
2024-09-13,EURI/USDT,1.1071,1.1096,1.1067,1.1074,10450393.6
2024-09-14,EURI/USDT,1.1075,1.1098,1.105,1.1082,1360221.6
2024-09-15,EURI/USDT,1.1083,1.1084,1.106,1.1083,1204635.4
2024-09-16,EURI/USDT,1.1083,1.1148,1.1082,1.1133,8803870.2
2024-09-17,EURI/USDT,1.1133,1.1139,1.1105,1.1118,10430060.9
2024-09-18,EURI/USDT,1.1117,1.1188,1.1095,1.1109,18815742.9
2024-09-19,EURI/USDT,1.1109,1.1172,1.1068,1.116,16528702.4
2024-09-20,EURI/USDT,1.116,1.1179,1.1128,1.1157,9425293.2
2024-09-21,EURI/USDT,1.1157,1.1161,1.1144,1.1153,1291144.7
2024-09-22,EURI/USDT,1.1154,1.1159,1.1148,1.1154,1804469.6
2024-09-23,EURI/USDT,1.1155,1.1167,1.108,1.1104,12201893.1
2024-09-24,EURI/USDT,1.1104,1.1184,1.11,1.1184,12498028.1
2024-09-25,EURI/USDT,1.1184,1.1208,1.1118,1.1128,14265184.5
