Date,Symbol,Open,High,Low,Close,Volume
2021-02-19,UNFIUSDT,23.100,27.911,23.100,26.989,363181.1
2021-02-20,UNFIUSDT,27.050,27.108,20.603,23.165,457291.7
2021-02-21,UNFIUSDT,23.156,26.486,22.286,24.450,276135.5
2021-02-22,UNFIUSDT,24.436,26.522,18.566,26.200,512475.5
2021-02-23,UNFIUSDT,26.200,29.260,16.600,21.082,922945.4
2021-02-24,UNFIUSDT,21.063,33.836,19.460,32.219,1827002.9
2021-02-25,UNFIUSDT,32.188,39.300,28.033,28.559,2648701.5
2021-02-26,UNFIUSDT,28.575,32.815,25.239,28.601,1283832.1
2021-02-27,UNFIUSDT,28.589,39.000,28.553,35.908,1623002.9
2021-02-28,UNFIUSDT,35.907,37.888,30.275,35.842,1585494.3
2021-03-01,UNFIUSDT,35.899,44.155,35.571,42.064,1092736.2
2021-03-02,UNFIUSDT,42.055,42.500,34.362,36.375,742643.5
2021-03-03,UNFIUSDT,36.390,37.902,34.206,34.300,587142.2
2021-03-04,UNFIUSDT,34.271,36.770,30.556,30.701,493940.7
2021-03-05,UNFIUSDT,30.733,33.400,28.208,31.297,569302.1
2021-03-06,UNFIUSDT,31.252,34.455,30.940,33.507,571970.1
2021-03-07,UNFIUSDT,33.500,37.592,33.427,34.363,499739.6
2021-03-08,UNFIUSDT,34.381,35.061,32.135,33.579,390779.1
2021-03-09,UNFIUSDT,33.609,39.179,33.134,37.709,793504.4
2021-03-10,UNFIUSDT,37.708,38.270,33.993,34.771,802845.2
2021-03-11,UNFIUSDT,34.801,35.889,32.625,32.815,513956.5
2021-03-12,UNFIUSDT,32.842,36.290,31.300,32.729,728722.4
2021-03-13,UNFIUSDT,32.711,35.001,31.459,34.221,401929.7
2021-03-14,UNFIUSDT,34.227,37.222,33.026,35.294,451186.8
2021-03-15,UNFIUSDT,35.313,36.953,31.152,31.642,654776.1
2021-03-16,UNFIUSDT,31.685,32.580,29.090,31.793,515259.4
2021-03-17,UNFIUSDT,31.841,32.648,30.000,32.290,449077.1
2021-03-18,UNFIUSDT,32.292,32.776,30.276,30.368,382186.6
2021-03-19,UNFIUSDT,30.367,30.668,28.824,29.740,354122.2
2021-03-20,UNFIUSDT,29.740,31.998,28.580,28.647,384683.2
2021-03-21,UNFIUSDT,28.648,29.164,26.998,27.904,510191.0
2021-03-22,UNFIUSDT,27.915,28.865,24.960,25.803,538277.0
2021-03-23,UNFIUSDT,25.768,27.403,23.713,24.488,531786.2
2021-03-24,UNFIUSDT,24.459,26.458,21.515,22.194,458019.7
2021-03-25,UNFIUSDT,22.152,23.404,21.182,22.208,676341.8
2021-03-26,UNFIUSDT,22.202,25.685,22.189,24.933,434430.1
2021-03-27,UNFIUSDT,24.967,29.956,24.962,29.252,942804.0
2021-03-28,UNFIUSDT,29.280,30.133,26.909,28.011,738616.3
2021-03-29,UNFIUSDT,28.001,28.901,27.275,27.406,585510.1
2021-03-30,UNFIUSDT,27.415,32.592,26.563,32.314,1383274.5
2021-03-31,UNFIUSDT,32.349,32.967,27.197,29.301,914911.2
2021-04-01,UNFIUSDT,29.319,30.073,27.111,27.389,435706.9
2021-04-02,UNFIUSDT,27.419,27.881,26.200,26.404,568175.7
2021-04-03,UNFIUSDT,26.405,26.816,23.610,24.169,665452.0
2021-04-04,UNFIUSDT,24.176,27.153,23.620,26.644,545510.3
2021-04-05,UNFIUSDT,26.666,28.437,25.139,26.812,620450.7
2021-04-06,UNFIUSDT,26.823,30.999,26.380,29.512,1304898.1
2021-04-07,UNFIUSDT,29.512,31.753,24.254,24.601,1593561.2
2021-04-08,UNFIUSDT,24.622,27.695,24.210,26.572,3076183.8
2021-04-09,UNFIUSDT,26.586,28.677,25.900,26.370,1795133.9
2021-04-10,UNFIUSDT,26.378,27.568,24.836,26.005,988013.1
2021-04-11,UNFIUSDT,26.037,26.843,25.044,26.610,696154.7
2021-04-12,UNFIUSDT,26.623,26.811,24.281,25.576,778901.9
2021-04-13,UNFIUSDT,25.602,27.952,23.666,27.840,1224718.5
2021-04-14,UNFIUSDT,27.840,36.226,26.925,35.035,3216687.9
2021-04-15,UNFIUSDT,34.999,35.900,31.509,32.507,1590038.8
2021-04-16,UNFIUSDT,32.512,32.833,29.258,30.453,1281771.2
2021-04-17,UNFIUSDT,30.453,32.000,28.800,29.055,817641.7
2021-04-18,UNFIUSDT,29.062,29.540,17.412,25.455,2098562.9
2021-04-19,UNFIUSDT,25.485,26.612,22.556,23.035,1222668.9
2021-04-20,UNFIUSDT,23.030,24.630,20.940,23.887,1183773.8
2021-04-21,UNFIUSDT,23.883,25.082,22.280,22.460,789092.0
2021-04-22,UNFIUSDT,22.486,24.120,20.200,21.041,1012176.2
2021-04-23,UNFIUSDT,21.038,21.622,17.624,21.588,1494594.0
2021-04-24,UNFIUSDT,21.604,21.636,19.017,19.221,820391.5
2021-04-25,UNFIUSDT,19.221,20.799,18.018,19.082,757792.3
2021-04-26,UNFIUSDT,19.089,22.846,18.825,22.551,905814.0
2021-04-27,UNFIUSDT,22.554,25.018,22.027,24.354,774467.2
2021-04-28,UNFIUSDT,24.346,26.899,22.025,26.488,1338335.6
2021-04-29,UNFIUSDT,26.493,27.647,23.850,24.801,996971.6
2021-04-30,UNFIUSDT,24.806,26.488,24.286,25.408,554120.1
2021-05-01,UNFIUSDT,25.407,26.198,24.550,25.620,560316.1
2021-05-02,UNFIUSDT,25.617,25.724,23.758,24.374,491387.3
2021-05-03,UNFIUSDT,24.375,31.867,24.336,30.818,2544121.3
2021-05-04,UNFIUSDT,30.838,31.460,24.456,24.853,2209667.0
2021-05-05,UNFIUSDT,24.844,27.623,24.539,27.075,896226.2
2021-05-06,UNFIUSDT,27.095,27.500,24.392,25.068,736241.6
2021-05-07,UNFIUSDT,25.080,26.220,24.000,24.850,901229.1
2021-05-08,UNFIUSDT,24.853,25.490,24.313,24.677,555797.8
2021-05-09,UNFIUSDT,24.680,24.789,22.777,24.096,729953.1
2021-05-10,UNFIUSDT,24.119,24.544,19.700,21.683,891465.0
2021-05-11,UNFIUSDT,21.675,23.036,20.774,22.853,702972.5
2021-05-12,UNFIUSDT,22.849,25.113,19.880,20.458,1180121.7
2021-05-13,UNFIUSDT,20.498,22.024,18.861,20.183,1291167.1
2021-05-14,UNFIUSDT,20.184,23.540,19.832,22.222,1310314.7
2021-05-15,UNFIUSDT,22.217,22.566,19.510,19.749,901931.5
2021-05-16,UNFIUSDT,19.732,21.196,17.792,18.950,863600.4
2021-05-17,UNFIUSDT,18.949,18.961,16.732,17.320,997594.2
2021-05-18,UNFIUSDT,17.324,18.836,17.115,17.670,1036302.7
2021-05-19,UNFIUSDT,17.673,17.976,6.440,9.846,3606241.2
2021-05-20,UNFIUSDT,9.829,11.898,8.730,10.606,2846753.9
2021-05-21,UNFIUSDT,10.608,11.182,7.264,8.625,2316630.5
2021-05-22,UNFIUSDT,8.629,8.963,7.437,7.841,1948148.2
2021-05-23,UNFIUSDT,7.844,13.704,5.639,10.873,9435898.6
2021-05-24,UNFIUSDT,10.875,13.336,9.674,10.778,18748964.4
2021-05-25,UNFIUSDT,10.778,12.028,9.097,10.059,5976595.7
2021-05-26,UNFIUSDT,10.062,14.440,9.748,12.644,7571575.3
2021-05-27,UNFIUSDT,12.643,12.645,10.900,11.685,3591248.6
2021-05-28,UNFIUSDT,11.686,11.803,9.535,10.018,2320295.4
2021-05-29,UNFIUSDT,10.024,10.429,8.311,8.851,1653226.7
2021-05-30,UNFIUSDT,8.856,9.767,8.208,9.177,1382101.1
2021-05-31,UNFIUSDT,9.175,11.167,8.661,11.107,2570568.0
2021-06-01,UNFIUSDT,11.104,11.511,9.979,10.194,2279498.8
2021-06-02,UNFIUSDT,10.194,11.340,9.843,10.839,1693033.9
2021-06-03,UNFIUSDT,10.845,11.873,10.767,10.941,1821714.2
2021-06-04,UNFIUSDT,10.941,10.981,9.253,9.692,2432734.0
2021-06-05,UNFIUSDT,9.697,10.174,8.901,9.343,3341113.2
2021-06-06,UNFIUSDT,9.341,9.742,9.244,9.516,1156031.2
2021-06-07,UNFIUSDT,9.519,10.203,8.639,8.750,1915707.7
2021-06-08,UNFIUSDT,8.742,8.870,7.456,8.578,2706505.1
2021-06-09,UNFIUSDT,8.578,9.381,8.020,9.111,3993751.7
2021-06-10,UNFIUSDT,9.113,9.600,8.562,8.841,2886895.5
2021-06-11,UNFIUSDT,8.850,9.378,8.036,8.846,3297196.4
2021-06-12,UNFIUSDT,8.853,9.236,7.520,8.115,6624318.8
2021-06-13,UNFIUSDT,8.117,8.724,7.869,8.663,3004323.7
2021-06-14,UNFIUSDT,8.666,9.176,8.442,9.078,2585642.1
2021-06-15,UNFIUSDT,9.077,10.848,8.662,10.684,5777858.1
2021-06-16,UNFIUSDT,10.681,10.699,9.157,9.258,4994684.7
2021-06-17,UNFIUSDT,9.265,9.926,9.220,9.507,1830563.5
2021-06-18,UNFIUSDT,9.510,9.510,7.957,8.360,1975710.7
2021-06-19,UNFIUSDT,8.352,8.509,7.960,8.055,1173460.9
2021-06-20,UNFIUSDT,8.058,8.218,7.339,8.010,1184616.7
2021-06-21,UNFIUSDT,8.011,8.062,6.250,6.275,2305462.3
2021-06-22,UNFIUSDT,6.275,6.999,5.310,6.033,2632200.5
2021-06-23,UNFIUSDT,6.035,6.880,5.754,6.410,1900483.3
2021-06-24,UNFIUSDT,6.413,6.594,5.994,6.530,1598881.4
2021-06-25,UNFIUSDT,6.530,7.055,5.843,5.901,3534015.6
2021-06-26,UNFIUSDT,5.897,6.125,5.501,5.786,3018218.6
2021-06-27,UNFIUSDT,5.786,6.063,5.626,6.063,1771629.1
2021-06-28,UNFIUSDT,6.062,6.380,5.893,6.288,1866728.3
2021-06-29,UNFIUSDT,6.283,7.293,6.225,7.070,2564607.1
2021-06-30,UNFIUSDT,7.073,7.154,6.110,6.588,2712603.3
2021-07-01,UNFIUSDT,6.590,6.714,5.936,6.125,2234970.1
2021-07-02,UNFIUSDT,6.124,6.241,5.635,5.912,3803878.1
2021-07-03,UNFIUSDT,5.911,6.303,5.771,6.088,2490982.0
2021-07-04,UNFIUSDT,6.088,6.700,5.739,6.226,4564064.7
2021-07-05,UNFIUSDT,6.230,6.233,5.322,5.815,4488321.0
2021-07-06,UNFIUSDT,5.817,7.174,5.812,7.120,6446867.4
